P(Friday|Relationship),P(Museum|Relationship),P(Sick|Relationship),P(WYD|Relationship),P(Bored|Relationship),P(Missed Show|Relationship),P(Oolong Tea|Relationship),P(Lunch|Relationship),P(Common Room|Relationship),P(Party|Relationship),P(Friday|Friendship),P(Museum|Friendship),P(Sick|Friendship),P(WYD|Friendship),P(Bored|Friendship),P(Missed Show|Friendship),P(Oolong Tea|Friendship),P(Lunch|Friendship),P(Common Room|Friendship),P(Party|Friendship),P(Friday|Hookup),P(Museum|Hookup),P(Sick|Hookup),P(WYD|Hookup),P(Bored|Hookup),P(Missed Show|Hookup),P(Oolong Tea|Hookup),P(Lunch|Hookup),P(Common Room|Hookup),P(Party|Hookup),Race,Major,Gender,Sexuality,Age
0.0,0.0,0.36,0.0,0.08,0.28,0.0,0.28,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.3157894736842105,0.0,0.0,0.3684210526315789,0.0,0.0,0.4166666666666667,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,[1],[3],1,1,21
0.0,0.1590909090909091,0.18181818181818182,0.11363636363636363,0.1590909090909091,0.0,0.0,0.1590909090909091,0.06818181818181818,0.1590909090909091,0.0,0.125,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.125,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,[4],[3],2,1,19
0.0,0.11904761904761904,0.16666666666666666,0.0,0.11904761904761904,0.09523809523809523,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.19230769230769232,0.0,0.19230769230769232,0.11538461538461539,0.19230769230769232,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1, 4]",[3],1,1,20
0.35714285714285715,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[4],[3],2,4,22
0.15789473684210525,0.21052631578947367,0.13157894736842105,0.0,0.02631578947368421,0.21052631578947367,0.2631578947368421,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.14285714285714285,0.07142857142857142,0.2857142857142857,0.25,0.0,0.14285714285714285,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.0,0.3,0.0,"[1, 6]","[1, 2]",2,4,22
0.0,0.3125,0.25,0.0,0.0,0.1875,0.25,0.0,0.0,0.0,0.0,0.30434782608695654,0.0,0.0,0.0,0.34782608695652173,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0,0.6153846153846154,0.0,[1],[4],1,1,23
0.16279069767441862,0.20930232558139536,0.18604651162790697,0.0,0.0,0.18604651162790697,0.13953488372093023,0.11627906976744186,0.0,0.0,0.0,0.2222222222222222,0.2962962962962963,0.0,0.0,0.25925925925925924,0.0,0.14814814814814814,0.0,0.07407407407407407,0.3333333333333333,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,"[1, 4]","[2, 3]",2,5,22
0.2,0.15555555555555556,0.2222222222222222,0.0,0.0,0.17777777777777778,0.0,0.1111111111111111,0.0,0.13333333333333333,0.0,0.0,0.3076923076923077,0.07692307692307693,0.0,0.2692307692307692,0.0,0.23076923076923078,0.0,0.11538461538461539,0.0,0.0,0.0,0.3076923076923077,0.38461538461538464,0.0,0.0,0.0,0.3076923076923077,0.0,"[1, 6]","[2, 3]",1,1,21
0.0,0.15555555555555556,0.2,0.0,0.13333333333333333,0.2222222222222222,0.13333333333333333,0.0,0.0,0.15555555555555556,0.0,0.0,0.34782608695652173,0.0,0.0,0.43478260869565216,0.0,0.0,0.0,0.21739130434782608,0.2692307692307692,0.0,0.0,0.15384615384615385,0.3076923076923077,0.0,0.0,0.0,0.2692307692307692,0.0,[4],"[2, 3]",2,1,21
0.38095238095238093,0.38095238095238093,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0967741935483871,0.0,0.16129032258064516,0.0,0.22580645161290322,0.25806451612903225,0.0,0.16129032258064516,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,[6],[3],2,1,20
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22580645161290322,0.0967741935483871,0.0,0.0,0.16129032258064516,0.1935483870967742,0.2903225806451613,0.0,0.03225806451612903,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,[4],"[3, 4]",3,4,19
0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32142857142857145,0.32142857142857145,0.0,0.0,0.17857142857142858,0.0,0.17857142857142858,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,[2],[3],2,1,20
0.0,0.12698412698412698,0.15873015873015872,0.0,0.0,0.14285714285714285,0.15873015873015872,0.1111111111111111,0.14285714285714285,0.15873015873015872,0.0,0.0,0.24242424242424243,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.21212121212121213,0.16666666666666666,0.0,0.16666666666666666,0.14814814814814814,0.14814814814814814,0.0,0.18518518518518517,0.0,0.18518518518518517,0.0,"[1, 4]","[2, 3]",2,4,22
